action_name,class,method,result_name,result_type,result_value
"PharmacyBilling6","admin","PharmacyBilling6","success","tiles","PharmacyBilling6"
"PharmacyBilling7","admin","PharmacyBilling7","success","tiles","PharmacyBilling7"
"PharmacyBilling8","admin","PharmacyBilling8","success","tiles","PharmacyBilling8"
"PharmacyBilling9","admin","PharmacyBilling9","success","tiles","PharmacyBilling9"
"PharmacyBilling10","admin","PharmacyBilling10","success","tiles","PharmacyBilling10"
"PharmacyBilling11","admin","PharmacyBilling11","success","tiles","PharmacyBilling11"
"PharmacyBilling12","admin","PharmacyBilling12","success","tiles","PharmacyBilling12"
"PharmacyBilling13","admin","PharmacyBilling13","success","tiles","PharmacyBilling13"
"PharmacyBilling14","admin","PharmacyBilling14","success","tiles","PharmacyBilling14"
"PharmacyBilling15","admin","PharmacyBilling15","success","tiles","PharmacyBilling15"
"PharmacyBilling16","admin","PharmacyBilling16","success","tiles","PharmacyBilling16"
"PharmacyBilling17","admin","PharmacyBilling17","success","tiles","PharmacyBilling17"
"PharmacyBilling18","admin","PharmacyBilling18","success","tiles","PharmacyBilling18"
"PharmacyBilling19","admin","PharmacyBilling19","success","tiles","PharmacyBilling19"
"PharmacyBilling20","admin","PharmacyBilling20","success","tiles","PharmacyBilling20"
"PharmacyBilling21","admin","PharmacyBilling21","success","tiles","PharmacyBilling21"
"PharmacyReports","admin","PharmacyReports","success","tiles","PharmacyReports"
"PharmacyReports1","admin","PharmacyReports1","success","tiles","PharmacyReports1"
"PharmacyReports2","admin","PharmacyReports2","success","tiles","PharmacyReports2"
"PharmacyReports3","admin","PharmacyReports3","success","tiles","PharmacyReports3"
"PharmacyReports4","admin","PharmacyReports4","success","tiles","PharmacyReports4"
"PharmacyReports5","admin","PharmacyReports5","success","tiles","PharmacyReports5"
"PharmacyReports6","admin","PharmacyReports6","success","tiles","PharmacyReports6"
"PharmacyReports7","admin","PharmacyReports7","success","tiles","PharmacyReports7"
"PharmacyReports8","admin","PharmacyReports8","success","tiles","PharmacyReports8"
"PharmacyReports9","admin","PharmacyReports9","success","tiles","PharmacyReports9"
"PharmacyReports10","admin","PharmacyReports10","success","tiles","PharmacyReports10"
"PharmacyReports11","admin","PharmacyReports11","success","tiles","PharmacyReports11"
"PharmacyReports12","admin","PharmacyReports12","success","tiles","PharmacyReports12"
"PharmacyReports13","admin","PharmacyReports13","success","tiles","PharmacyReports13"
"PharmacyReports14","admin","PharmacyReports14","success","tiles","PharmacyReports14"
"PharmacyReports15","admin","PharmacyReports15","success","tiles","PharmacyReports15"
"PharmacyReports16","admin","PharmacyReports16","success","tiles","PharmacyReports16"
"PharmacyReports17","admin","PharmacyReports17","success","tiles","PharmacyReports17"
"PharmacyReports18","admin","PharmacyReports18","success","tiles","PharmacyReports18"
"PharmacyReports19","admin","PharmacyReports19","success","tiles","PharmacyReports19"
"PharmacyReports20","admin","PharmacyReports20","success","tiles","PharmacyReports20"
"PharmacyReports21","admin","PharmacyReports21","success","tiles","PharmacyReports21"
"PharmacyReports22","admin","PharmacyReports22","success","tiles","PharmacyReports22"
"PharmacyMISmodule","admin","PharmacyMISmodule","success","tiles","PharmacyMISmodule"
"PharmacyMISmodule1","admin","PharmacyMISmodule1","success","tiles","PharmacyMISmodule1"
"PharmacyMISmodule2","admin","PharmacyMISmodule2","success","tiles","PharmacyMISmodule2"
"PharmacyMISmodule3","admin","PharmacyMISmodule3","success","tiles","PharmacyMISmodule3"
"GetAppointment1","user","getAppointment","success","tiles","show-slots1"
"GetAppointmentDept","user","consultDisplay2","success","tiles","show-consultant2"
"getAppointmentCon","user","getAppointmentCon","success","tiles","show-slots-con"
"getAppointmentCon","user","getAppointmentCon","success","tiles","show-slots-con"
"getAppointmentCon1","user","getAppointmentCon","success","tiles","show-slots-con1"
"getAppointmentCancel","user","getAppointmentCancel","success","tiles","appSucc"
"getAppointmentCancel1","user","getAppointmentCancel","success","tiles","appSucc1"
"bookAppointmentCon","user","bookAppointmentCon","success","tiles","bookAppointmentCon"
"bookAppointmentCon","user","bookAppointmentCon","error","tiles","common-error3"
"bookAppointmentCon1","user","bookAppointmentCon","success","tiles","bookAppointmentCon1"
"bookAppointmentOthers","user","bookAppointmentOthers","success","tiles","bookAppointmentOthers"
"AppointReqInput","user","appointReqInput","success","tiles","AppointReqInput"
"getpatientSearchDetailsApp","user","getpatientSearchDetailsApp","success","dispatcher","/HMS Android/Ajax/PatientSearchDetails.jsp"
"getpatientSearchDetailsAppothers","user","getpatientSearchDetailsAppothers","success","dispatcher","/HMS Android/Ajax/RelationSearchDetails.jsp"
"getOtherpatientList","user","getOtherpatientList","success","dispatcher","/HMS Android/Ajax/RelationSearchDetails.jsp"
"confirmAppointment","user","confirmAppointmentop","success","tiles","appSuccwhatsapp"
"confirmAppointmentothers","user","confirmAppointmentOthers","success","tiles","appSucc"
