action_name,class,method,result_name,result_type,result_value,resolved_jsp
"checkDocSearchDetails","admin","checkDocSearchDetails","success","tiles","front-doc-search-details","/HMS Android/fileUploadDoc.jsp?main=6&amp;sub=1"
"checkDocSearchDetails1","admin","checkDocSearchDetails1","success","tiles","front-doc-search-details1","/HMS Android/fileuploaddocself.jsp?main=6&amp;sub=1"
"checkGivenNFID","admin","checkGivenNFID","","","",""
"checkPat","admin","checkPat","","","",""
"checkOtherPat","admin","checkOtherPat","","","",""
"checkPatientSearchDetailsForView","admin","confirmSearchPatient","success","tiles","view-File-Upload","/Xray/fileCheckNFinput.jsp?main=24&amp;sub=5"
"getFilesFromNF","admin","getFilesFromNF","success","tiles","get-File-fromNF","/HMS Android/ViewFileUploaded.jsp?main=6&amp;sub=2"
"sendLabReport","lab","SendLabReportAction","success","tiles","shareLabReport","/HMS Android/emailsuccess.jsp?main=6&amp;sub=2"
"sendLabReportqr","lab","SendLabReportActionqr","success","tiles","shareLabReportqr","/HMS Android/qrsuccess.jsp?main=6&amp;sub=2"
"getPrescriptionUpload","admin","getPrescriptionUpload","success","tiles","prescriptionupload","/HMS Android/PrescriptionUpload.jsp?main=6&amp;sub=2"
"getConsultantsTiming","admin","getConsultantsTiming","success","tiles","appointmentslot","/HMS Android/Appointmentslot.jsp?main=2&amp;sub=3"
"consultanttimeUpdate","admin","consultanttimeUpdate","success","tiles","slotTime","/HMS Android/TimingSlots_old.jsp?main=1&amp;sub=2"
"consultanttimeMaster","admin","consultanttimeMaster","success","tiles","slotTimemaster","/HMS Android/TimingSlotsMaster.jsp?main=1&amp;sub=2"
"consultanttimeCW","admin","consultanttimeCW","success","tiles","slotTimecw","/HMS Android/TimingSlotsupdate.jsp?main=2&amp;sub=3"
"consultanttimeCW","admin","consultanttimeCW","success","tiles","slotTimecw","/HMS Android/TimingSlotsupdate.jsp?main=2&amp;sub=3"
